[2020-05-24T12:23:10-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-24T12:23:10-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-24T14:21:33-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-24T14:21:34-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-24T16:14:44-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-24T16:15:09-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-05-24T16:15:54-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-24T16:16:12-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T17:42:23-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T17:42:23-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T20:06:53-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T20:06:54-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T20:31:35-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T20:32:04-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-05-24T20:32:18-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-24T20:32:40-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:06:33-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-24T21:06:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:16:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:16:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:17:25-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:17:26-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:43:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:43:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:44:37-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:44:37-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:45:08-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-24T21:45:08-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:33:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:33:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:35:00-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:35:00-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:48:11-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:48:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-05-27T13:48:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-27T13:49:08-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:53:14-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-05-27T13:53:54-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-05-27T13:54:05-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-27T13:55:16-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-27T15:51:24-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T15:51:24-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T16:34:23-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-27T16:34:24-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-27T18:26:21-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
